PLAYER_ID,PLAYER_NAME,DRAFT_YEAR,ORGANIZATION_TYPE,PRE_NBA_SEASON,PRE_NBA_GP,PRE_NBA_MPG,PRE_NBA_PPG,PRE_NBA_RPG,PRE_NBA_APG,PRE_NBA_TS_PCT,PRE_NBA_USG_PCT,FIRST_VALUABLE_NBA_SEASON,FIRST_VALUABLE_NBA_GP,FIRST_VALUABLE_NBA_MPG,FIRST_VALUABLE_NBA_PPG,FIRST_VALUABLE_NBA_RPG,FIRST_VALUABLE_NBA_APG,FIRST_VALUABLE_NBA_TS_PCT,FIRST_VALUABLE_NBA_USG_PCT
1628976,Wendell Carter Jr.,2018,College/University,2018,36,27.0,13.5,9.1,2.0,0.634,0.226,2018-19,44.0,25.2,10.3,7.0,1.8,0.541,0.192
1628977,Hamidou Diallo,2018,College/University,2018,34,24.6,9.9,3.4,1.2,0.513,0.223,2018-19,51.0,10.3,3.7,1.9,0.3,0.497,0.16
1628978,Donte DiVincenzo,2018,College/University,2018,40,29.2,13.4,4.8,3.5,0.613,0.224,2018-19,27.0,15.2,4.9,2.4,1.1,0.507,0.145
1628980,Jacob Evans,2018,College/University,2018,35,30.8,12.8,4.7,3.1,0.546,0.224,2019-20,29.0,14.4,4.4,1.4,1.1,0.436,0.167
1628981,Bruno Fernando,2019,College/University,2019,34,29.0,13.6,10.6,2.0,0.662,0.233,2019-20,56.0,12.7,4.3,3.5,0.9,0.542,0.147
1628983,Shai Gilgeous-Alexander,2018,College/University,2018,34,34.1,14.8,4.2,5.2,0.582,0.225,2018-19,82.0,26.5,10.8,2.8,3.3,0.554,0.182
1628984,Devonte' Graham,2018,College/University,2018,38,38.0,17.3,4.0,7.1,0.577,0.238,2018-19,46.0,14.7,4.7,1.4,2.6,0.459,0.166
1628988,Aaron Holiday,2018,College/University,2018,33,37.7,20.3,3.7,5.8,0.616,0.266,2018-19,50.0,12.9,5.9,1.3,1.7,0.518,0.206
1628989,Kevin Huerter,2018,College/University,2018,32,34.4,14.8,5.0,3.4,0.646,0.215,2018-19,75.0,27.3,9.7,3.3,2.9,0.533,0.153
1628990,Chandler Hutchison,2018,College/University,2018,28,32.1,20.9,7.5,3.6,0.597,0.33,2018-19,44.0,20.3,5.2,4.2,0.8,0.507,0.121
1628991,Jaren Jackson Jr.,2018,College/University,2018,34,22.1,11.2,5.9,1.1,0.66,0.236,2018-19,58.0,26.1,13.8,4.7,1.1,0.591,0.231
1628995,Kevin Knox II,2018,College/University,2018,34,32.1,15.6,5.3,1.4,0.567,0.247,2018-19,75.0,28.8,12.8,4.5,1.1,0.475,0.219
1628998,Cody Martin,2019,College/University,2019,34,34.4,12.1,4.5,4.9,0.6,0.174,2019-20,48.0,18.8,5.0,3.3,2.0,0.505,0.131
1629001,De'Anthony Melton,2018,College/University,2017,36,27.0,8.3,4.7,3.5,0.538,0.177,2018-19,50.0,19.7,5.0,2.7,3.2,0.466,0.147
1629003,Shake Milton,2018,College/University,2018,22,36.4,18.0,4.7,4.4,0.613,0.248,2018-19,20.0,13.4,4.4,1.8,0.9,0.483,0.147
1629004,Svi Mykhailiuk,2018,College/University,2018,38,34.7,14.4,4.0,2.8,0.564,0.212,2018-19,42.0,10.5,3.2,0.9,0.9,0.447,0.157
1629006,Josh Okogie,2018,College/University,2018,24,36.4,18.2,6.2,2.5,0.558,0.269,2018-19,74.0,23.7,7.7,2.9,1.2,0.492,0.148
1629008,Michael Porter Jr.,2018,College/University,2018,3,17.7,10.0,6.7,0.3,0.442,0.373,2019-20,55.0,16.4,9.3,4.7,0.8,0.617,0.211
1629010,Jerome Robinson,2018,College/University,2018,35,36.0,20.7,3.6,3.3,0.614,0.274,2019-20,63.0,15.5,5.1,2.0,1.4,0.476,0.155
1629012,Collin Sexton,2018,College/University,2018,33,29.9,19.2,3.8,3.6,0.576,0.329,2018-19,82.0,31.8,16.7,2.9,3.0,0.52,0.247
1629013,Landry Shamet,2018,College/University,2018,30,31.9,14.5,3.1,5.4,0.65,0.207,2018-19,79.0,22.8,9.1,1.7,1.5,0.604,0.145
1629016,Omari Spellman,2018,College/University,2018,40,28.1,10.8,8.0,0.8,0.592,0.184,2018-19,46.0,17.5,5.9,4.2,1.0,0.516,0.146
1629018,Gary Trent Jr.,2018,College/University,2018,36,33.9,14.6,4.3,1.4,0.571,0.196,2019-20,61.0,21.8,8.9,1.6,1.0,0.587,0.15
1629021,Moritz Wagner,2018,College/University,2018,37,27.7,14.5,7.2,0.9,0.618,0.262,2018-19,43.0,10.4,4.8,2.0,0.6,0.533,0.21
1629022,Lonnie Walker IV,2018,College/University,2018,32,27.8,11.5,2.6,1.9,0.531,0.224,2019-20,61.0,16.2,6.4,2.3,1.1,0.507,0.183
1629023,P.J. Washington,2019,College/University,2019,35,29.3,15.2,7.5,1.8,0.6,0.256,2019-20,58.0,30.3,12.2,5.4,2.1,0.547,0.184
1629027,Trae Young,2018,College/University,2018,32,35.4,27.4,3.9,8.7,0.593,0.371,2018-19,81.0,30.9,19.1,3.7,8.1,0.539,0.277
1629028,Deandre Ayton,2018,College/University,2018,34,33.5,20.1,11.5,1.6,0.658,0.267,2018-19,71.0,30.7,16.3,10.3,1.8,0.608,0.21
1629057,Robert Williams III,2018,College/University,2018,28,25.8,10.0,9.1,1.4,0.613,0.186,2019-20,29.0,13.4,5.2,4.4,0.9,0.728,0.135
1629060,Rui Hachimura,2019,College/University,2019,37,30.2,19.7,6.5,1.5,0.648,0.28,2019-20,48.0,30.1,13.5,6.1,1.8,0.535,0.189
1629611,Terance Mann,2019,College/University,2019,37,31.7,11.4,6.5,2.5,0.611,0.175,2020-21,67.0,18.9,7.0,3.6,1.6,0.603,0.144
1629627,Zion Williamson,2019,College/University,2019,33,30.0,22.6,8.9,2.1,0.711,0.283,2019-20,24.0,27.8,22.5,6.2,2.1,0.616,0.291
1629628,RJ Barrett,2019,College/University,2019,38,35.3,22.6,7.6,4.3,0.537,0.322,2019-20,56.0,30.4,14.3,5.0,2.6,0.479,0.234
1629629,Cam Reddish,2019,College/University,2019,36,29.7,13.5,3.7,1.9,0.503,0.253,2019-20,58.0,26.7,10.5,3.7,1.5,0.5,0.185
1629630,Ja Morant,2019,College/University,2019,33,36.6,24.5,5.7,10.0,0.621,0.332,2019-20,67.0,31.0,17.8,3.9,7.3,0.556,0.256
1629631,De'Andre Hunter,2019,College/University,2019,38,32.5,15.2,5.1,2.0,0.625,0.241,2019-20,63.0,32.0,12.3,4.5,1.8,0.521,0.173
1629632,Coby White,2019,College/University,2019,35,28.5,16.1,3.5,4.1,0.561,0.27,2019-20,65.0,25.8,13.2,3.5,2.7,0.506,0.235
1629633,Jarrett Culver,2019,College/University,2019,38,32.5,18.5,6.4,3.7,0.548,0.322,2019-20,63.0,23.9,9.2,3.4,1.7,0.467,0.187
1629634,Brandon Clarke,2019,College/University,2019,37,28.1,16.9,8.6,1.9,0.708,0.239,2019-20,58.0,22.4,12.1,5.9,1.4,0.663,0.18
1629636,Darius Garland,2019,College/University,2019,5,27.8,16.2,3.8,2.6,0.663,0.256,2019-20,59.0,30.9,12.3,1.9,3.9,0.498,0.201
1629637,Jaxson Hayes,2019,College/University,2019,32,23.3,10.0,5.0,0.2,0.751,0.171,2019-20,64.0,16.9,7.4,4.0,0.9,0.689,0.146
1629638,Nickeil Alexander-Walker,2019,College/University,2019,34,34.3,16.2,4.1,4.0,0.592,0.264,2019-20,47.0,12.6,5.7,1.8,1.9,0.473,0.233
1629639,Tyler Herro,2019,College/University,2019,37,32.6,14.0,4.5,2.5,0.585,0.215,2019-20,55.0,27.4,13.5,4.1,2.2,0.55,0.213
1629640,Keldon Johnson,2019,College/University,2019,37,30.7,13.5,5.9,1.6,0.564,0.227,2020-21,69.0,28.5,12.8,6.0,1.8,0.557,0.189
1629641,Romeo Langford,2019,College/University,2019,32,34.1,16.5,5.4,2.3,0.55,0.26,2019-20,32.0,11.6,2.5,1.3,0.4,0.434,0.113
1629642,Nassir Little,2019,College/University,2019,36,18.2,9.8,4.6,0.6,0.555,0.252,2019-20,48.0,11.9,3.6,2.2,0.5,0.505,0.131
1629643,Chuma Okeke,2019,College/University,2019,38,29.1,12.0,6.8,1.9,0.602,0.199,2020-21,45.0,25.2,7.8,4.0,2.2,0.511,0.142
1629644,KZ Okpala,2019,College/University,2019,29,32.7,16.8,5.7,2.0,0.551,0.272,2020-21,37.0,12.1,2.5,1.8,0.5,0.448,0.115
1629645,Kevin Porter Jr.,2019,College/University,2019,21,22.1,9.5,4.0,1.4,0.564,0.235,2019-20,50.0,23.2,10.0,3.2,2.2,0.535,0.202
1629651,Nic Claxton,2019,College/University,2019,32,31.6,13.0,8.6,1.8,0.543,0.22,2020-21,32.0,18.6,6.6,5.2,0.9,0.612,0.136
1629655,Daniel Gafford,2019,College/University,2019,32,28.7,16.9,8.7,0.7,0.663,0.258,2019-20,43.0,14.2,5.1,2.5,0.5,0.686,0.131
1629659,Talen Horton-Tucker,2019,College/University,2019,35,27.2,11.8,4.9,2.3,0.492,0.261,2020-21,65.0,20.1,9.0,2.6,2.8,0.536,0.21
1629660,Ty Jerome,2019,College/University,2019,37,33.9,13.6,4.2,5.5,0.559,0.234,2019-20,31.0,10.6,3.3,1.5,1.4,0.425,0.17
1629661,Cameron Johnson,2019,College/University,2019,36,29.9,16.9,5.8,2.4,0.653,0.217,2019-20,57.0,22.0,8.8,3.3,1.2,0.586,0.151
1629667,Jalen McDaniels,2019,College/University,2019,34,31.1,15.9,8.3,2.1,0.529,0.287,2020-21,47.0,19.2,7.4,3.6,1.1,0.554,0.169
1629669,Jaylen Nowell,2019,College/University,2019,36,34.4,16.2,5.3,3.1,0.597,0.253,2020-21,42.0,18.1,9.0,2.3,1.5,0.528,0.206
1629672,Eric Paschall,2019,College/University,2019,36,36.1,16.5,6.1,2.1,0.577,0.245,2019-20,60.0,27.6,14.0,4.6,2.1,0.571,0.207
1629673,Jordan Poole,2019,College/University,2019,37,33.1,12.8,3.0,2.2,0.578,0.209,2019-20,57.0,22.3,8.8,2.1,2.4,0.454,0.2
1629676,Isaiah Roby,2019,College/University,2019,35,31.3,11.8,6.9,1.9,0.538,0.215,2020-21,61.0,23.4,8.7,5.6,1.8,0.555,0.171
1629678,Admiral Schofield,2019,College/University,2019,37,31.8,16.5,6.1,2.0,0.565,0.263,2019-20,33.0,11.2,3.0,1.4,0.5,0.502,0.118
1629680,Matisse Thybulle,2019,College/University,2019,36,31.1,9.1,3.1,2.1,0.546,0.173,2019-20,65.0,19.8,4.7,1.6,1.2,0.539,0.108
1629684,Grant Williams,2019,College/University,2019,37,31.9,18.8,7.5,3.2,0.659,0.262,2019-20,69.0,15.1,3.4,2.6,1.0,0.505,0.112
1629685,Dylan Windler,2019,College/University,2019,33,32.4,21.3,10.8,2.5,0.688,0.263,2020-21,31.0,16.5,5.2,3.5,1.1,0.567,0.14
